ID,Name,Age,City,Department,Salary,Experience
1,Ana,53,Madrid,Sales,86979,3
11,Pedro,50,Valencia,IT,49544,14
2,Pedro,29,Bilbao,Finance,32078,9
12,Laura,45,Barcelona,Operations,75994,2
3,Maria,18,Bilbao,Sales,97537,0
13,Laura,23,Madrid,IT,56578,3
4,Carmen,18,Valencia,Finance,80776,0
14,Carlos,49,Malaga,IT,65006,6
5,Maria,47,Sevilla,IT,76302,17
15,Juan,22,Sevilla,Operations,56066,2
16,Laura,46,Valencia,Operations,39545,26
6,Ana,18,Barcelona,Operations,97622,0
17,Luis,21,Valencia,Marketing,73850,0
7,Pedro,40,Bilbao,Operations,97646,0
18,Carmen,55,Barcelona,HR,94992,36
8,Carmen,59,Madrid,Marketing,74525,21
9,Juan,50,Bilbao,Finance,63485,22
19,Maria,26,Barcelona,Marketing,68643,8
10,Luis,41,Malaga,Sales,85152,10
20,Luis,63,Valencia,Sales,66873,24
