ID,Name,Age,City,Department,Salary,Experience
1,Laura,19,Valencia,Operations,63859,0
11,Carlos,56,Barcelona,Finance,36590,9
2,Ana,51,Bilbao,Sales,47905,20
12,Juan,38,Sevilla,Operations,59819,2
3,Luis,28,Valencia,Operations,91746,7
13,Carlos,44,Valencia,Sales,72299,6
4,Juan,64,Sevilla,HR,80863,11
14,Ana,57,Valencia,IT,95491,33
5,Juan,19,Valencia,HR,74469,0
15,Carlos,18,Barcelona,Sales,59733,0
6,Juan,31,Bilbao,Sales,74842,11
16,Carlos,37,Madrid,Finance,67833,8
7,Laura,46,Sevilla,HR,66002,17
17,Pedro,57,Valencia,Finance,96187,19
8,Luis,41,Bilbao,Marketing,80329,1
18,Maria,63,Madrid,Finance,42027,3
9,Maria,60,Bilbao,Finance,38361,16
19,Carmen,64,Sevilla,IT,73443,41
20,Luis,22,Malaga,Marketing,64984,0
10,Carmen,63,Valencia,Operations,93631,27
