ID,Name,Age,City,Department,Salary,Experience
1,Juan,26,Bilbao,HR,44781,5
2,Luis,29,Bilbao,HR,69871,3
3,Juan,36,Valencia,Sales,53598,12
4,Carlos,45,Madrid,Operations,72898,18
5,Pedro,60,Barcelona,Operations,71119,9
6,Laura,46,Sevilla,Marketing,39036,23
7,Laura,63,Valencia,Sales,80218,38
8,Maria,54,Sevilla,Finance,84912,15
9,Ana,61,Sevilla,IT,77837,0
10,Luis,56,Barcelona,Operations,70214,18
11,Maria,18,Barcelona,IT,51587,0
12,Luis,61,Barcelona,HR,71074,28
13,Carmen,22,Malaga,HR,83199,2
14,Pedro,18,Sevilla,Marketing,39563,0
15,Ana,47,Bilbao,Finance,53838,17
16,Ana,35,Bilbao,Operations,54003,16
21,Carlos,54,Madrid,Operations,72542,33
17,Pedro,41,Malaga,IT,39270,22
22,Luis,31,Malaga,HR,68890,5
18,Ana,31,Valencia,IT,33743,0
23,Juan,59,Barcelona,IT,88007,26
19,Pedro,37,Malaga,Finance,76164,9
24,Carmen,40,Barcelona,IT,71007,16
20,Maria,37,Sevilla,HR,79302,11
31,Juan,39,Madrid,Operations,87084,19
25,Luis,34,Sevilla,Marketing,42925,8
41,Ana,50,Sevilla,HR,59446,22
32,Ana,33,Bilbao,Sales,36006,2
26,Carlos,43,Bilbao,HR,95926,12
42,Pedro,31,Malaga,HR,93518,11
51,Laura,39,Barcelona,Finance,44655,16
33,Pedro,44,Valencia,Operations,73421,15
27,Carmen,42,Madrid,Operations,73325,16
43,Carlos,58,Malaga,Finance,79487,23
52,Maria,38,Bilbao,Sales,82713,1
34,Carmen,58,Malaga,Sales,51294,18
28,Juan,21,Barcelona,Finance,56296,3
44,Carlos,44,Valencia,Operations,57148,5
53,Ana,31,Madrid,IT,35227,8
35,Luis,44,Bilbao,Sales,98508,0
29,Laura,36,Valencia,Finance,41994,6
45,Maria,27,Sevilla,Marketing,35904,6
54,Juan,42,Valencia,HR,88538,18
36,Carlos,22,Barcelona,HR,98403,0
30,Ana,41,Barcelona,Marketing,36805,1
46,Laura,46,Malaga,IT,82314,24
55,Luis,35,Bilbao,Finance,68756,6
37,Juan,55,Sevilla,Sales,55689,27
61,Carmen,33,Valencia,Operations,34981,12
47,Juan,52,Madrid,Operations,78241,27
56,Maria,23,Valencia,HR,55878,3
38,Luis,62,Valencia,HR,49919,6
62,Carlos,39,Bilbao,Marketing,36133,1
48,Maria,53,Madrid,Operations,81286,25
57,Pedro,31,Madrid,Marketing,86533,6
39,Ana,50,Sevilla,HR,59446,22
63,Laura,41,Barcelona,Marketing,73421,2
49,Pedro,30,Madrid,Sales,64604,0
58,Ana,33,Bilbao,Sales,33793,15
40,Pedro,31,Malaga,HR,93518,11
64,Carmen,18,Bilbao,HR,86587,0
50,Juan,18,Madrid,Sales,48491,0
59,Carmen,33,Valencia,Operations,34981,12
71,Juan,26,Valencia,HR,49663,0
65,Maria,58,Malaga,Finance,65662,19
81,Pedro,43,Barcelona,Operations,67807,15
60,Carlos,39,Bilbao,Marketing,36133,1
72,Luis,31,Malaga,HR,38413,13
66,Carmen,64,Barcelona,IT,49780,4
82,Pedro,56,Valencia,Operations,95421,1
91,Juan,46,Madrid,Sales,60615,14
73,Pedro,25,Barcelona,Operations,99539,5
67,Laura,51,Valencia,Operations,75300,11
83,Carlos,28,Sevilla,Finance,46563,4
92,Juan,33,Madrid,Finance,52138,3
74,Carmen,47,Malaga,Operations,48648,8
68,Maria,18,Sevilla,Marketing,95665,0
84,Juan,60,Malaga,Finance,97427,34
93,Luis,54,Valencia,Marketing,36144,16
75,Luis,58,Valencia,HR,97860,40
69,Maria,26,Valencia,Operations,74977,5
85,Ana,41,Sevilla,HR,76601,20
94,Maria,27,Malaga,HR,83478,5
76,Maria,24,Bilbao,Operations,52659,1
70,Laura,37,Bilbao,Finance,74539,6
86,Pedro,48,Bilbao,Finance,90456,6
95,Juan,39,Malaga,Sales,81665,2
77,Juan,48,Valencia,Marketing,51371,24
101,Luis,63,Malaga,Sales,34027,28
87,Ana,65,Sevilla,IT,87464,37
96,Juan,41,Madrid,IT,46617,10
78,Juan,20,Bilbao,Sales,53100,0
102,Juan,46,Malaga,IT,64950,9
88,Carmen,56,Valencia,Sales,85111,3
97,Ana,22,Madrid,Finance,84803,0
79,Pedro,43,Barcelona,Operations,67807,15
103,Ana,60,Bilbao,HR,73018,31
89,Carmen,36,Malaga,IT,78491,10
98,Juan,50,Barcelona,Operations,82395,6
80,Pedro,56,Valencia,Operations,95421,1
104,Carlos,57,Bilbao,Marketing,92491,23
90,Maria,32,Malaga,Operations,50715,2
99,Luis,63,Malaga,Sales,34027,28
111,Pedro,46,Madrid,Sales,95929,18
105,Maria,18,Sevilla,Operations,45752,0
121,Juan,61,Malaga,HR,95279,41
100,Juan,46,Malaga,IT,64950,9
112,Juan,51,Barcelona,IT,42727,28
106,Carmen,43,Madrid,Operations,75653,3
122,Ana,51,Sevilla,HR,52765,30
131,Pedro,34,Sevilla,Operations,30562,11
113,Ana,26,Madrid,IT,79192,2
107,Pedro,39,Valencia,HR,98801,20
123,Pedro,27,Sevilla,IT,74881,6
132,Juan,46,Barcelona,Finance,97342,1
114,Ana,34,Valencia,HR,31250,5
108,Carlos,61,Madrid,Operations,81551,35
124,Maria,20,Malaga,HR,98803,2
133,Laura,48,Malaga,HR,65135,7
115,Ana,23,Valencia,Finance,40573,1
109,Carlos,56,Barcelona,Sales,82787,28
125,Luis,52,Barcelona,Finance,95111,32
134,Carlos,35,Madrid,HR,67061,0
116,Carlos,31,Madrid,IT,91613,6
110,Laura,24,Sevilla,IT,31105,5
126,Maria,18,Sevilla,Sales,68355,0
135,Ana,45,Malaga,Finance,95857,16
117,Maria,26,Malaga,Finance,62699,8
141,Luis,61,Bilbao,Sales,33114,28
127,Juan,38,Valencia,Sales,43015,2
136,Juan,43,Barcelona,Operations,63566,16
118,Luis,56,Bilbao,IT,63780,28
142,Carlos,41,Malaga,HR,37470,0
128,Laura,62,Bilbao,Operations,81777,6
137,Carmen,23,Valencia,Sales,60193,1
119,Juan,61,Malaga,HR,95279,41
143,Laura,44,Madrid,IT,42429,9
129,Carmen,33,Malaga,Marketing,35937,8
138,Juan,20,Bilbao,HR,95898,2
120,Ana,51,Sevilla,HR,52765,30
144,Ana,42,Sevilla,Sales,98180,22
130,Juan,41,Valencia,HR,45063,8
139,Luis,61,Bilbao,Sales,33114,28
151,Juan,32,Sevilla,Finance,55634,9
145,Carmen,62,Bilbao,Operations,53377,36
161,Maria,21,Madrid,HR,46810,2
140,Carlos,41,Malaga,HR,37470,0
152,Laura,65,Madrid,HR,85596,40
146,Maria,21,Valencia,HR,90820,3
162,Maria,23,Valencia,Finance,40245,5
171,Juan,61,Madrid,HR,81520,9
153,Maria,58,Barcelona,HR,39068,17
